window,target,model,fold,feature,coefficient,alpha
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_05,-0.0042811319478532174,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_06,0.11597792345819515,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_07,0.19068333446800093,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_08,0.011477412557165261,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_09,-0.13153050526253893,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_10,0.1100748696613748,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_11,0.0666390624272469,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_12,0.019391755077489598,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_13,-0.3590038768886595,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_14,-0.00426158735011253,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_15,0.006746029286533691,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_16,-0.009510656584224163,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_17,0.0010629905993437007,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_18,0.21248749407047285,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_19,0.08588908457593535,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_20,0.09331435767337833,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_21,0.08411717953215739,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_22,-0.0006802978784839799,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_23,0.0009249355104687818,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_24,-0.001621891683093051,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_25,0.05742659929610074,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_26,0.11593438031708278,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_27,-0.09177629040636398,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_28,0.03329002807001105,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_29,0.053554740488406846,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_30,-0.2208155484062921,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_31,-0.017299846598511078,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_00,-0.3319722925056783,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_01,-0.05881024912005412,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_02,0.3296859112015625,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_03,0.20421082895680115,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_04,0.36530583308075504,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_05,-0.026869087648127333,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_06,0.10189862048066543,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_07,0.14782785039472174,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_08,0.05369942013084585,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_09,0.047769242410494524,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_10,0.13937359791424087,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_11,0.12233721231730733,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_12,0.016877413704037197,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_13,-0.413922792792443,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_14,0.01455449650948709,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_15,0.006412967432280486,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_16,0.0019032214548316557,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_17,-0.036730726489713234,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_18,0.1834568327120726,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_19,0.0985267395756122,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_20,0.1130738015510297,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_21,0.11344067670122157,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_22,0.03651547628984652,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_23,0.012783092911258485,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_24,-0.036780517113418704,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_25,0.061833474239520195,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_26,0.0788313360009921,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_27,-0.11740307672144663,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_28,0.018317888772611216,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_29,0.056264007681479725,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_30,-0.22678097314859358,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,3,hidden_31,-0.02202414845092446,0.46415888336127775
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_00,-0.2094421307728301,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_01,-0.016155611538702007,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_02,0.12261601900254683,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_03,0.1217625117112449,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_04,0.10498413135968912,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_05,-0.009395068444524006,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_06,0.04918932749526719,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_07,0.10476051875067448,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_08,0.04381490196127133,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_09,0.019626446714863133,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_10,0.07547193874907687,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_11,-0.0025435675901021824,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_12,0.018527287277401352,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_13,-0.21386441686708416,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_14,-0.02838043771962364,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_15,0.0033701363711219068,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_16,-0.03182137330316473,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_17,0.02679439722345714,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_18,0.14675558718978646,10.0
full_pre_response,log_RT_ms,baseline_plus_hidden,4,hidden_19,0.06169279436145396,10.0
