time_ms,latent,correlation_with_log_rt
-902.2801513671875,z2,-0.03973882293654231
-898.371337890625,z2,-0.03781887782590025
-894.4625244140625,z2,-0.03649203666002734
-890.5537719726562,z2,-0.03595504444705845
-886.6449584960938,z2,-0.03639460266141245
-882.7361450195312,z2,-0.037936807401031176
-878.8273315429688,z2,-0.04022249466896559
-874.9185791015625,z2,-0.04269986129646149
-871.009765625,z2,-0.044940650442948836
-867.1009521484375,z2,-0.046587996572236806
-863.1921997070312,z2,-0.0475361091194494
-859.2833862304688,z2,-0.04812254861029293
-855.3745727539062,z2,-0.04903376562970386
-851.4658203125,z2,-0.050780890243942514
-847.5570068359375,z2,-0.05369594765348544
-843.648193359375,z2,-0.057912708973234424
-839.7394409179688,z2,-0.06312447192000376
-835.8306274414062,z2,-0.06851866225367312
-831.9218139648438,z2,-0.07330296462527079
-828.0130004882812,z2,-0.07690702761771841
-824.104248046875,z2,-0.07931137939372591
-820.1954345703125,z2,-0.08069660213576971
-816.28662109375,z2,-0.08137390718700155
-812.3778686523438,z2,-0.08176192831503229
-808.4690551757812,z2,-0.08221527341152311
-804.5602416992188,z2,-0.0825713798367097
-800.6514892578125,z2,-0.08234705733971183
-796.74267578125,z2,-0.08127574674327954
-792.8338623046875,z2,-0.07942200528904206
-788.9251098632812,z2,-0.0771882348786547
-785.0162963867188,z2,-0.07511723054589112
-781.1074829101562,z2,-0.07349410363081559
-777.1986694335938,z2,-0.07266864405599323
-773.2899169921875,z2,-0.07312702477629583
-769.381103515625,z2,-0.07489624737165383
-765.4722900390625,z2,-0.07760370888109133
-761.5635375976562,z2,-0.08093290251654683
-757.6547241210938,z2,-0.08439525910030461
-753.7459106445312,z2,-0.08771680822779143
-749.837158203125,z2,-0.0912375300663623
-745.9283447265625,z2,-0.09530998522915916
-742.01953125,z2,-0.10015135881874251
-738.1107788085938,z2,-0.10567827113761906
-734.2019653320312,z2,-0.11124855188496922
-730.2931518554688,z2,-0.11608594591707545
-726.3843383789062,z2,-0.11946741844317066
-722.4755859375,z2,-0.12085975672542679
-718.5667724609375,z2,-0.12018015036447352
-714.657958984375,z2,-0.11789018746613755
-710.7492065429688,z2,-0.11499931809140729
-706.8403930664062,z2,-0.11256080801020256
-702.9315795898438,z2,-0.11113947594087933
-699.0228271484375,z2,-0.11088078070144711
-695.114013671875,z2,-0.11142762892760029
-691.2052001953125,z2,-0.11217117774644081
-687.29638671875,z2,-0.11266383450825855
-683.3876342773438,z2,-0.11271438247453025
-679.4788208007812,z2,-0.11230023601620026
-675.5700073242188,z2,-0.1115820504789064
-671.6612548828125,z2,-0.11099945419845707
-667.75244140625,z2,-0.11063409356709683
-663.8436279296875,z2,-0.11035569768718563
-659.9348754882812,z2,-0.11029383452571982
-656.0260620117188,z2,-0.11079287679625459
-652.1172485351562,z2,-0.11210540725068721
-648.20849609375,z2,-0.11420993978511852
-644.2996826171875,z2,-0.11715537238840425
