window,model,fold,feature,coefficient
early (-600 to -300 ms),baseline+cpp+z,4,cpp_slope,0.03507028892636299
early (-600 to -300 ms),baseline+cpp+z,4,z1_mean,-0.0049005188047885895
early (-600 to -300 ms),baseline+cpp+z,4,z2_mean,-0.04591081291437149
early (-600 to -300 ms),baseline+cpp+z,4,z3_mean,-0.03767799586057663
early (-600 to -300 ms),baseline+cpp+z,4,z4_mean,-0.025273477658629417
early (-600 to -300 ms),baseline+cpp+z,4,z5_mean,0.018191808834671974
early (-600 to -300 ms),baseline+cpp+z,5,baseline_0,0.05807944014668465
early (-600 to -300 ms),baseline+cpp+z,5,baseline_1,-0.02406274899840355
early (-600 to -300 ms),baseline+cpp+z,5,baseline_2,-0.02984524518251419
early (-600 to -300 ms),baseline+cpp+z,5,baseline_3,0.011296714656054974
early (-600 to -300 ms),baseline+cpp+z,5,baseline_4,0.02318612113595009
early (-600 to -300 ms),baseline+cpp+z,5,cpp_mean,0.03510449454188347
early (-600 to -300 ms),baseline+cpp+z,5,cpp_late,-0.11077993363142014
early (-600 to -300 ms),baseline+cpp+z,5,cpp_slope,0.05033104121685028
early (-600 to -300 ms),baseline+cpp+z,5,z1_mean,-0.03315722942352295
early (-600 to -300 ms),baseline+cpp+z,5,z2_mean,-0.0629972368478775
early (-600 to -300 ms),baseline+cpp+z,5,z3_mean,-0.02058892697095871
early (-600 to -300 ms),baseline+cpp+z,5,z4_mean,-0.06523455679416656
early (-600 to -300 ms),baseline+cpp+z,5,z5_mean,0.06094343215227127
mid (-300 to -120 ms),baseline,1,baseline_0,0.0617295578122139
mid (-300 to -120 ms),baseline,1,baseline_1,-0.024281766265630722
mid (-300 to -120 ms),baseline,1,baseline_2,-0.03790966048836708
mid (-300 to -120 ms),baseline,1,baseline_3,0.010262759402394295
mid (-300 to -120 ms),baseline,1,baseline_4,0.02765076421201229
mid (-300 to -120 ms),baseline,2,baseline_0,0.06324616074562073
mid (-300 to -120 ms),baseline,2,baseline_1,-0.030450468882918358
mid (-300 to -120 ms),baseline,2,baseline_2,-0.04172833263874054
mid (-300 to -120 ms),baseline,2,baseline_3,0.0073680756613612175
mid (-300 to -120 ms),baseline,2,baseline_4,0.021540755406022072
mid (-300 to -120 ms),baseline,3,baseline_0,0.057623762637376785
mid (-300 to -120 ms),baseline,3,baseline_1,-0.029849091544747353
mid (-300 to -120 ms),baseline,3,baseline_2,-0.03982638567686081
mid (-300 to -120 ms),baseline,3,baseline_3,0.008424388244748116
mid (-300 to -120 ms),baseline,3,baseline_4,0.02450511045753956
mid (-300 to -120 ms),baseline,4,baseline_0,0.0588718019425869
mid (-300 to -120 ms),baseline,4,baseline_1,-0.027555063366889954
