window,model,fold,r2,corr,alpha,n_train,n_test,delta_vs_baseline,delta_vs_cpp
full (-600 to -50 ms),baseline+shuffled-z,2,0.07560989909632876,0.2791533710739726,213.3604526501411,5754,1543,0.0003158551129176512,-0.05039474584089643
full (-600 to -50 ms),baseline+shuffled-z,3,0.06188293520057897,0.29531520976533604,213.3604526501411,5865,1432,-0.00264956157435714,-0.09636137329296379
full (-600 to -50 ms),baseline+shuffled-z,4,0.13427086552030876,0.3776809164146566,213.3604526501411,5844,1453,-0.0008860726055378576,-0.0624732997720413
full (-600 to -50 ms),baseline+shuffled-z,5,0.06880656974788746,0.3228033582500602,213.3604526501411,5862,1435,-0.00033148131194982167,0.05739526449589072
full (-600 to -50 ms),baseline+cpp,1,0.14044652065997398,0.382622376740892,9.162739011886732,5863,1434,0.0806198416509506,0.0
full (-600 to -50 ms),baseline+cpp,2,0.12600464493722519,0.3568146233715528,0.01,5754,1543,0.05071060095381408,0.0
full (-600 to -50 ms),baseline+cpp,3,0.15824430849354276,0.429645089738131,34.013049382792495,5865,1432,0.09371181171860665,0.0
full (-600 to -50 ms),baseline+cpp,4,0.19674416529235006,0.4537557793093807,44.21499907374487,5844,1453,0.061587227166503444,0.0
full (-600 to -50 ms),baseline+cpp,5,0.01141130525199674,0.28551080640421334,11.911031332830067,5862,1435,-0.05772674580784054,0.0
full (-600 to -50 ms),baseline+cpp+z,1,0.15675623413574558,0.4091768770802685,126.26001098748551,5863,1434,0.09692955512672219,0.016309713475771592
full (-600 to -50 ms),baseline+cpp+z,2,0.1395885338289805,0.3748258120536246,126.26001098748551,5754,1543,0.0642944898455694,0.013583888891755325
full (-600 to -50 ms),baseline+cpp+z,3,0.1596784141958334,0.4310400127152156,213.3604526501411,5865,1432,0.09514591742089729,0.0014341057022906334
full (-600 to -50 ms),baseline+cpp+z,4,0.20170052762909807,0.4676297123119584,277.35626141984125,5844,1453,0.06654358950325145,0.00495636233674801
full (-600 to -50 ms),baseline+cpp+z,5,-0.022513786789559287,0.2895621361091863,57.476944248353526,5862,1435,-0.09165183784939657,-0.033925092041556026
