seed,subject_id,cpp_feature,z_feature,within_subject_corr
0,sub-STSWD1266,CPP_late_mean,aligned_z2_peak_time,0.3417423367500305
0,sub-STSWD1268,CPP_late_mean,aligned_z2_peak_time,0.3966248035430908
0,sub-STSWD1270,CPP_late_mean,aligned_z2_peak_time,0.39809828996658325
0,sub-STSWD1276,CPP_late_mean,aligned_z2_peak_time,0.3494420051574707
0,sub-STSWD1281,CPP_late_mean,aligned_z2_peak_time,0.38919657468795776
0,sub-STSWD1117,CPP_late_mean,aligned_z3_late_mean,0.9265987873077393
0,sub-STSWD1118,CPP_late_mean,aligned_z3_late_mean,0.9330589771270752
0,sub-STSWD1120,CPP_late_mean,aligned_z3_late_mean,0.9239327907562256
0,sub-STSWD1124,CPP_late_mean,aligned_z3_late_mean,0.9625781178474426
0,sub-STSWD1126,CPP_late_mean,aligned_z3_late_mean,0.17149952054023743
0,sub-STSWD1131,CPP_late_mean,aligned_z3_late_mean,0.9697227478027344
0,sub-STSWD1132,CPP_late_mean,aligned_z3_late_mean,0.8462966680526733
0,sub-STSWD1135,CPP_late_mean,aligned_z3_late_mean,0.9421740174293518
0,sub-STSWD1136,CPP_late_mean,aligned_z3_late_mean,0.8080143928527832
0,sub-STSWD1151,CPP_late_mean,aligned_z3_late_mean,0.9347420930862427
