seed,cpp_feature,z_feature,subject_level_corr,mean_within_subject_corr
2,CPP_late_mean,aligned_z4_peak_time,0.0814446359872818,0.28878419646402687
2,CPP_late_mean,aligned_z5_late_mean,0.8115107417106628,0.6868317345293556
2,CPP_late_mean,aligned_z5_slope,0.071683628487685,0.3954979731351364
2,CPP_late_mean,aligned_z5_peak,0.49172693490982056,0.3355647176504135
2,CPP_late_mean,aligned_z5_peak_time,0.14853668212890625,0.18577981285932588
2,CPP_slope,aligned_z1_late_mean,-0.09305849097339963,0.45553756376432486
2,CPP_slope,aligned_z1_slope,0.9373398124797354,0.9150078540222153
2,CPP_slope,aligned_z1_peak,-0.2431630177816932,-0.038932189034505585
2,CPP_slope,aligned_z1_peak_time,0.514849085457126,0.21364965144526962
2,CPP_slope,aligned_z2_late_mean,-0.11735624712930678,0.4691584440287703
2,CPP_slope,aligned_z2_slope,0.9498479989776536,0.9230782900243173
2,CPP_slope,aligned_z2_peak,-0.23713941899261057,-0.04132391251109462
2,CPP_slope,aligned_z2_peak_time,0.5098998617563961,0.25122943861236496
2,CPP_slope,aligned_z3_late_mean,-0.133134417768789,0.4633631366915683
2,CPP_slope,aligned_z3_slope,0.9509785498465243,0.8973756133686184
2,CPP_slope,aligned_z3_peak,-0.2274905131734168,-0.03055670685567995
2,CPP_slope,aligned_z3_peak_time,0.5014938100566323,0.241190375493022
2,CPP_slope,aligned_z4_late_mean,0.0019474075333635044,0.41877791269335124
2,CPP_slope,aligned_z4_slope,0.9171444116205053,0.8358563376251595
2,CPP_slope,aligned_z4_peak,-0.15175407250787531,-0.03819568474011468
2,CPP_slope,aligned_z4_peak_time,0.5233557051893795,0.2257829339060377
2,CPP_slope,aligned_z5_late_mean,-0.206035945563298,0.34239466854269424
2,CPP_slope,aligned_z5_slope,0.6637029630029222,0.6732530792091311
2,CPP_slope,aligned_z5_peak,-0.1424055400106456,-0.00458959548063935
2,CPP_slope,aligned_z5_peak_time,0.20440354980035938,0.1342486948973301
2,CPP_peak,aligned_z1_late_mean,0.6587494611740112,0.4683478801715665
2,CPP_peak,aligned_z1_slope,-0.2513365558056556,-0.01645860953214731
2,CPP_peak,aligned_z1_peak,0.9106773734092712,0.8196402163040347
2,CPP_peak,aligned_z1_peak_time,-0.18132087588310242,-0.00997785969478328
2,CPP_peak,aligned_z2_late_mean,0.8689512014389038,0.5410025301502972
2,CPP_peak,aligned_z2_slope,-0.33906236937403844,-0.0324121518291546
2,CPP_peak,aligned_z2_peak,0.9847700595855713,0.9381695738652858
2,CPP_peak,aligned_z2_peak_time,-0.1346883624792099,-0.0021741565816649575
2,CPP_peak,aligned_z3_late_mean,0.7799329161643982,0.4716350236317007
2,CPP_peak,aligned_z3_slope,-0.2065132908400049,-0.03298894839663844
2,CPP_peak,aligned_z3_peak,0.967401921749115,0.8635776915201326
2,CPP_peak,aligned_z3_peak_time,-0.07254426926374435,-0.004228413644496624
2,CPP_peak,aligned_z4_late_mean,0.5191998481750488,0.43231163501012615
2,CPP_peak,aligned_z4_slope,-0.06650526289481884,-0.0068824967283481215
2,CPP_peak,aligned_z4_peak,0.9191828370094299,0.7125274771597327
2,CPP_peak,aligned_z4_peak_time,-0.18539826571941376,0.006089151944828833
2,CPP_peak,aligned_z5_late_mean,0.5818036198616028,0.34797036847690255
2,CPP_peak,aligned_z5_slope,-0.13889005011687017,-0.003046682732752737
2,CPP_peak,aligned_z5_peak,0.7782936096191406,0.4687877479122906
2,CPP_peak,aligned_z5_peak_time,-0.05057566240429878,-0.00895949739326791
2,CPP_peak_time,aligned_z1_late_mean,0.07278623431921005,0.26761055465151623
2,CPP_peak_time,aligned_z1_slope,0.4595459896252168,0.2287651416069131
2,CPP_peak_time,aligned_z1_peak,-0.2517601251602173,-0.03571795708522564
2,CPP_peak_time,aligned_z1_peak_time,0.8876377940177917,0.6454032928478427
2,CPP_peak_time,aligned_z2_late_mean,0.006675667129456997,0.3112085388927925
2,CPP_peak_time,aligned_z2_slope,0.61479980203319,0.26531236495246796
2,CPP_peak_time,aligned_z2_peak,-0.2349540740251541,-0.04147745403120431
2,CPP_peak_time,aligned_z2_peak_time,0.9344602227210999,0.7983358444237127
2,CPP_peak_time,aligned_z3_late_mean,0.03491184860467911,0.2790990116460839
2,CPP_peak_time,aligned_z3_slope,0.6013622498856624,0.2426028018727231
2,CPP_peak_time,aligned_z3_peak,-0.22175189852714539,-0.032378254049434896
