seed,model,fold,cv_r2,rmse,mae,n_test_subjects,n_test_trials,delta_r2_vs_cpp_only
2,Full,pooled,0.11391041116425116,0.2721686820719886,0.22086740757035647,41,7297,0.01584795526656646
3,baseline,1,0.04844258260989498,0.2984053727260659,0.24799386806876703,8,1434,-0.04949999900152313
3,baseline,2,0.031665278642812655,0.27131094828270325,0.2248654263708849,9,1543,-0.06627730296860546
3,baseline,3,0.05281374151946805,0.29214955136418985,0.23676151782589902,8,1432,-0.04512884009195006
3,baseline,4,0.049403082387079245,0.2534448395829877,0.21293564076677163,8,1453,-0.04853949922433887
3,baseline,5,0.054330455329260285,0.28846932802549397,0.2396034663266513,8,1435,-0.043612126282157826
3,baseline,pooled,0.055373352769649276,0.2810149530282976,0.23226798868582138,41,7297,-0.042569228841768836
3,CPP-only,1,0.12103741907699206,0.2867968203871346,0.23612768206416807,8,1434,0.023094837465573947
3,CPP-only,2,0.08171452353862696,0.26420645555423,0.21690457473962074,9,1543,-0.01622805807279115
3,CPP-only,3,0.09013761644032614,0.28633562469711543,0.22859565494008632,8,1432,-0.007804965171091971
3,CPP-only,4,0.1041240373150899,0.2460419691453117,0.20413688881125944,8,1453,0.00618145570367179
3,CPP-only,5,0.055653129756844,0.2882675215306579,0.235438334387728,8,1435,-0.04228945185457411
3,CPP-only,pooled,0.09794258161141811,0.27461004835669534,0.2240790382440188,41,7297,0.0
3,z-only,1,0.12269601845551015,0.28652610030616943,0.23442427595356466,8,1434,0.024753436844092036
3,z-only,2,0.0927412307415546,0.2626153785062961,0.21499210666190846,9,1543,-0.005201350869863508
3,z-only,3,0.07901716185309726,0.28808012584584974,0.22979679943600237,8,1432,-0.01892541975832085
3,z-only,4,0.10276475055038259,0.24622855458941878,0.20345516042365894,8,1453,0.004822168938964477
3,z-only,5,0.07505575401908193,0.285290768563976,0.23201204824543578,8,1435,-0.02288682759233618
3,z-only,pooled,0.10187287036764459,0.2740111535619299,0.22276605268149496,41,7297,0.003930288756226474
3,CPP + z,1,0.14072495391190243,0.28356670622794355,0.23226265583475808,8,1434,0.04278237230048432
3,CPP + z,2,0.10026924379473556,0.26152357858833086,0.21405094971677208,9,1543,0.0023266621833174517
3,CPP + z,3,0.09265391903768694,0.2859394076783299,0.22767003187822607,8,1432,-0.005288662573731173
3,CPP + z,4,0.11651315331295442,0.24433478271250603,0.20145369975845556,8,1453,0.01857057170153631
3,CPP + z,5,0.04843253645070833,0.2893674875285547,0.23425055857468252,8,1435,-0.04951004516070978
3,CPP + z,pooled,0.10687280016662326,0.2732473704723764,0.22176655157370803,41,7297,0.00893021855520515
3,All-z,1,0.14598974736944448,0.2826966623659021,0.23075418412888526,8,1434,0.04804716575802637
3,All-z,2,0.08195579137302966,0.26417174483051364,0.21483193896117594,9,1543,-0.01598679023838845
