,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,subj_id
224,1.0,0.92755,3,3,2,1,1,1,1,True,sub-STSWD1117,739679,8,739679.0,sub-STSWD1117
225,1.0,1.1954,4,3,2,1,1,1,1,True,sub-STSWD1117,742112,8,742112.0,sub-STSWD1117
226,1.0,0.47245,1,3,2,1,1,1,1,True,sub-STSWD1117,744544,8,744544.0,sub-STSWD1117
227,1.0,0.52636,3,3,1,1,1,1,1,True,sub-STSWD1117,746976,8,746976.0,sub-STSWD1117
228,1.0,0.65424,2,4,1,1,1,1,1,True,sub-STSWD1117,751455,8,751455.0,sub-STSWD1117
229,1.0,0.5222,2,4,2,1,1,1,1,True,sub-STSWD1117,753888,8,753888.0,sub-STSWD1117
230,1.0,0.99005,4,4,1,1,1,1,1,True,sub-STSWD1117,756320,8,756320.0,sub-STSWD1117
231,1.0,0.79304,4,4,2,1,1,1,1,True,sub-STSWD1117,758751,8,758751.0,sub-STSWD1117
232,1.0,0.85731,3,4,2,1,1,1,1,True,sub-STSWD1117,761188,8,761188.0,sub-STSWD1117
233,1.0,0.60962,3,4,2,1,1,1,1,True,sub-STSWD1117,763620,8,763620.0,sub-STSWD1117
234,1.0,0.57605,3,4,1,1,1,1,1,True,sub-STSWD1117,766052,8,766052.0,sub-STSWD1117
235,1.0,0.73845,1,4,1,1,1,1,1,True,sub-STSWD1117,768484,8,768484.0,sub-STSWD1117
