time_ms,latent,correlation_with_log_rt,model_version
-511.4006652832031,z2,-0.1462851016868133,no_prior
-507.4918518066406,z2,-0.1460976706768146,no_prior
-503.58306884765625,z2,-0.1449501445811742,no_prior
-499.67425537109375,z2,-0.1426566565192464,no_prior
-495.7654724121094,z2,-0.1396525200741203,no_prior
-491.856689453125,z2,-0.1364772526008438,no_prior
-487.9478759765625,z2,-0.1334808733828054,no_prior
-484.0390930175781,z2,-0.1310216229067517,no_prior
-480.1302795410156,z2,-0.1293357337299219,no_prior
-476.2214965820313,z2,-0.1283189134178669,no_prior
-472.3127136230469,z2,-0.1275276314037651,no_prior
-468.4039001464844,z2,-0.1264743010686827,no_prior
-464.4951171875,z2,-0.1251884920321794,no_prior
-460.5863342285156,z2,-0.1241497400778858,no_prior
-456.6775207519531,z2,-0.1238213453033756,no_prior
-452.7687377929687,z2,-0.124274143857601,no_prior
-448.85992431640625,z2,-0.1251847422550719,no_prior
-444.9511413574219,z2,-0.1259288359581516,no_prior
-441.0423583984375,z2,-0.1258385267370712,no_prior
-437.133544921875,z2,-0.1244694895954895,no_prior
-433.2247619628906,z2,-0.1217788697721288,no_prior
-429.3159484863281,z2,-0.1181502756424196,no_prior
-425.40716552734375,z2,-0.1141448625528017,no_prior
-421.4983825683594,z2,-0.1103419181057503,no_prior
-417.5895690917969,z2,-0.1073737542898652,no_prior
-413.6807861328125,z2,-0.1056114682720176,no_prior
-409.77197265625,z2,-0.1048788050362528,no_prior
-405.8631896972656,z2,-0.1045340752676148,no_prior
-401.9544067382813,z2,-0.1038280136178702,no_prior
-398.0455932617187,z2,-0.1019399688351693,no_prior
-394.1368103027344,z2,-0.0982464208159056,no_prior
-390.22802734375,z2,-0.0927618748840694,no_prior
-386.3192138671875,z2,-0.0860904103831017,no_prior
-382.4104309082031,z2,-0.0791017325988117,no_prior
-378.5016174316406,z2,-0.0724731262892412,no_prior
-374.59283447265625,z2,-0.066462593568946,no_prior
-370.6840515136719,z2,-0.060779154688351,no_prior
-366.7752380371094,z2,-0.0548694177412117,no_prior
-362.866455078125,z2,-0.0482529531360723,no_prior
-358.9576416015625,z2,-0.0407599687761294,no_prior
-355.0488586425781,z2,-0.0325779913531029,no_prior
-351.14007568359375,z2,-0.0243030009419517,no_prior
-347.23126220703125,z2,-0.01677363768669,no_prior
-343.3224792480469,z2,-0.0107469517000398,no_prior
-339.4136657714844,z2,-0.0064788567122744,no_prior
-335.5048828125,z2,-0.0036989564724322,no_prior
-331.5960998535156,z2,-0.0018774917676532,no_prior
-327.6872863769531,z2,-0.0004834064799905,no_prior
-323.77850341796875,z2,0.0008562015774923,no_prior
-319.8697204589844,z2,0.0023409851891106,no_prior
-315.9609069824219,z2,0.0039815689559297,no_prior
-312.0521240234375,z2,0.0057144601823239,no_prior
-308.143310546875,z2,0.0076200768411922,no_prior
-304.2345275878906,z2,0.0099689328548577,no_prior
-300.32574462890625,z2,0.0129891403240182,no_prior
-296.41693115234375,z2,0.0167059753282473,no_prior
-292.5081481933594,z2,0.020995472684944,no_prior
-288.5993347167969,z2,0.0256805415289253,no_prior
-284.6905517578125,z2,0.0306322675976335,no_prior
-280.7817687988281,z2,0.0356017312888761,no_prior
-276.8729553222656,z2,0.0402588519530006,no_prior
-272.96417236328125,z2,0.0442825087710536,no_prior
-269.0553894042969,z2,0.0474692734702673,no_prior
-265.1465759277344,z2,0.0497382053676295,no_prior
-261.23779296875,z2,0.0509351358692586,no_prior
-257.3289794921875,z2,0.0511670368886682,no_prior
-253.42019653320312,z2,0.0506734339485111,no_prior
-249.5113983154297,z2,0.0496935869322067,no_prior
-245.60260009765625,z2,0.0486636486368455,no_prior
-241.69381713867188,z2,0.0480537921494184,no_prior
-237.78501892089844,z2,0.0479902917061322,no_prior
-233.876220703125,z2,0.0482984368379883,no_prior
-229.96742248535156,z2,0.0486830962933793,no_prior
-226.0586395263672,z2,0.0489507197733574,no_prior
-222.14984130859375,z2,0.0490515262803781,no_prior
-218.2410430908203,z2,0.0488792065100821,no_prior
-214.33224487304688,z2,0.0483687014189184,no_prior
-210.42344665527344,z2,0.0477074965359465,no_prior
-206.51466369628903,z2,0.0472516957107793,no_prior
-202.6058654785156,z2,0.0472345014106698,no_prior
-198.6970672607422,z2,0.0476800268788809,no_prior
-194.78826904296875,z2,0.0486304947911522,no_prior
-190.8794860839844,z2,0.0502931928115196,no_prior
-186.97068786621097,z2,0.0528121092983799,no_prior
-183.0618896484375,z2,0.0560880905883026,no_prior
-179.15309143066406,z2,0.0598497449868073,no_prior
-175.24429321289062,z2,0.0637356469857383,no_prior
-171.33551025390625,z2,0.0674344451849566,no_prior
-167.4267120361328,z2,0.0707857091434788,no_prior
-163.51791381835938,z2,0.0738689898676391,no_prior
-159.60911560058594,z2,0.0768672718563099,no_prior
-155.70033264160156,z2,0.0798546910157056,no_prior
-151.79153442382812,z2,0.0827613067255734,no_prior
-147.8827362060547,z2,0.0854559643678733,no_prior
-143.97393798828125,z2,0.0878547225645818,no_prior
-140.0651397705078,z2,0.0897317017183407,no_prior
-136.15635681152344,z2,0.0908209448881074,no_prior
-132.24755859375,z2,0.091117530458984,no_prior
-128.33876037597656,z2,0.0909047715603203,no_prior
-124.42996978759766,z2,0.0906663110541811,no_prior
-120.52117156982422,z2,0.0909111804058686,no_prior
-116.61238098144533,z2,0.0919060312977045,no_prior
-112.70358276367188,z2,0.0937546783462098,no_prior
-108.79478454589844,z2,0.0965820666109364,no_prior
-104.88599395751952,z2,0.1002868037834181,no_prior
