probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1.0,0.67833,1,2,2,1,1,1,1,True,sub-STSWD1117,333271,8,333271.0,-0.46593749912744614,-0.23421964144779106,-0.7447419009318722,2nd,2nd,1st,-0.2974868301304781,-0.31970293339417105,-1.2900705156220775
1.0,0.30028,1,2,2,1,1,1,1,True,sub-STSWD1117,335703,8,335703.0,0.40182106058183764,1.150129955527526,0.693320481767895,3rd,4th,3rd,0.29581311266912874,1.2321201508000914,0.4135440755669983
1.0,0.90543,4,2,1,1,1,1,1,True,sub-STSWD1117,338135,8,338135.0,0.24993153271102325,1.2326899934982407,0.4672070411932617,3rd,4th,3rd,0.29581311266912874,1.2321201508000914,0.4135440755669983
1.0,0.67715,1,2,1,1,1,1,1,True,sub-STSWD1117,340567,8,340567.0,-0.9578946544131872,-0.5773445960972348,-0.2553928954334018,1st,2nd,2nd,-1.1896506904453836,-0.31970293339417105,-0.30266708760987315
1.0,0.70903,2,3,2,1,1,1,1,True,sub-STSWD1117,345047,8,345047.0,-0.0662398710751843,-0.3241276347096101,1.2729298762517909,2nd,2nd,4th,-0.2974868301304781,-0.31970293339417105,1.1996708374367313
1.0,0.46897,2,3,2,1,1,1,1,True,sub-STSWD1117,347479,8,347479.0,0.9197909579337346,0.8573395645257331,-0.6844793918453514,4th,4th,1st,1.2102077521995167,1.2321201508000914,-1.2900705156220775
1.0,0.6919,3,3,2,1,1,1,1,True,sub-STSWD1117,349911,8,349911.0,1.198592728605845,2.3207665300754248,0.4579776470115865,4th,4th,3rd,1.2102077521995167,1.2321201508000914,0.4135440755669983
0.0,0.75783,1,3,2,1,1,1,1,True,sub-STSWD1117,352343,8,352343.0,-1.213701916314028,-2.0653769082564764,0.015332197657470894,1st,1st,3rd,-1.1896506904453836,-1.144855065854786,0.4135440755669983
1.0,0.87077,1,3,2,1,1,1,1,True,sub-STSWD1117,354775,8,354775.0,0.9271472505454624,0.034810872791689325,0.11791681248731066,4th,3rd,3rd,1.2102077521995167,0.2310303470787792,0.4135440755669983
1.0,0.6457,2,3,2,1,1,1,1,True,sub-STSWD1117,357207,8,357207.0,2.266861856970849,1.580938679232473,-0.07499004687158115,4th,4th,2nd,1.2102077521995167,1.2321201508000914,-0.30266708760987315
1.0,0.67863,2,3,1,1,1,1,1,True,sub-STSWD1117,359639,8,359639.0,1.030967577718911,0.11613096920532984,-0.5814658308252207,4th,3rd,2nd,1.2102077521995167,0.2310303470787792,-0.30266708760987315
1.0,0.58258,2,3,1,1,1,1,1,True,sub-STSWD1117,362071,8,362071.0,0.049892034723598856,-0.42408627476435795,-0.11539177387142072,3rd,2nd,2nd,0.29581311266912874,-0.31970293339417105,-0.30266708760987315
1.0,0.65845,1,4,1,1,1,1,1,True,sub-STSWD1117,366551,8,366551.0,-0.2909466787735854,-0.8033664150168145,-0.6750682250893192,2nd,1st,1st,-0.2974868301304781,-1.144855065854786,-1.2900705156220775
1.0,0.60239,1,4,2,1,1,1,1,True,sub-STSWD1117,368983,8,368983.0,-0.014855407235494564,-0.13229784895950245,0.1261477829625673,3rd,2nd,3rd,0.29581311266912874,-0.31970293339417105,0.4135440755669983
0.0,0.66533,3,4,1,1,1,1,1,True,sub-STSWD1117,371415,8,371415.0,1.1400775246797885,-0.09955852771295592,-0.6186535723507911,4th,2nd,2nd,1.2102077521995167,-0.31970293339417105,-0.30266708760987315
1.0,0.79626,3,4,2,1,1,1,1,True,sub-STSWD1117,373847,8,373847.0,-0.06824592682190499,-1.2360274593980891,-1.3737084995552062,2nd,1st,1st,-0.2974868301304781,-1.144855065854786,-1.2900705156220775
1.0,1.1142,4,4,1,1,1,1,1,True,sub-STSWD1117,376279,8,376279.0,-1.0354671635435297,-1.1354386813941864,0.47676878629645325,1st,1st,3rd,-1.1896506904453836,-1.144855065854786,0.4135440755669983
1.0,0.69606,4,4,2,1,1,1,1,True,sub-STSWD1117,378711,8,378711.0,1.0882389935307055,0.8994035390998233,0.18326869918775232,4th,4th,3rd,1.2102077521995167,1.2321201508000914,0.4135440755669983
0.0,0.77106,4,4,1,1,1,1,1,True,sub-STSWD1117,381143,8,381143.0,1.2073624721043692,-0.04993146328061326,-0.3956645683518555,4th,3rd,2nd,1.2102077521995167,0.2310303470787792,-0.30266708760987315
1.0,0.49401,2,4,1,1,1,1,1,True,sub-STSWD1117,383574,8,383574.0,-0.7647388768317119,-1.254022914046275,-1.0503761500240838,1st,1st,1st,-1.1896506904453836,-1.144855065854786,-1.2900705156220775
