comparison,metric,difference,sample_index
late_pre_response_minus_early_pre_response,participation_ratio,-0.24690547742118385,51
late_pre_response_minus_mid_pre_response,pc1_explained,0.03635987565460996,51
late_pre_response_minus_mid_pre_response,participation_ratio,-0.15989499949707797,51
mid_pre_response_minus_early_pre_response,pc1_explained,0.009356738377930052,51
mid_pre_response_minus_early_pre_response,participation_ratio,-0.08701047792410588,51
late_pre_response_minus_early_pre_response,pc1_explained,0.04643487832100768,52
late_pre_response_minus_early_pre_response,participation_ratio,-0.22563289469401981,52
late_pre_response_minus_mid_pre_response,pc1_explained,0.03730509446276964,52
late_pre_response_minus_mid_pre_response,participation_ratio,-0.16063392675278587,52
mid_pre_response_minus_early_pre_response,pc1_explained,0.009129783858238039,52
mid_pre_response_minus_early_pre_response,participation_ratio,-0.06499896794123394,52
late_pre_response_minus_early_pre_response,pc1_explained,0.062725512078606,53
late_pre_response_minus_early_pre_response,participation_ratio,-0.34140527670323984,53
late_pre_response_minus_mid_pre_response,pc1_explained,0.06505086897569834,53
late_pre_response_minus_mid_pre_response,participation_ratio,-0.3469899806823644,53
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0023253568970923455,53
mid_pre_response_minus_early_pre_response,participation_ratio,0.005584703979124583,53
late_pre_response_minus_early_pre_response,pc1_explained,0.07029313137560489,54
late_pre_response_minus_early_pre_response,participation_ratio,-0.36803027480070494,54
late_pre_response_minus_mid_pre_response,pc1_explained,0.0398841149443353,54
late_pre_response_minus_mid_pre_response,participation_ratio,-0.21793712080908012,54
mid_pre_response_minus_early_pre_response,pc1_explained,0.030409016431269587,54
mid_pre_response_minus_early_pre_response,participation_ratio,-0.15009315399162482,54
late_pre_response_minus_early_pre_response,pc1_explained,0.04308601137130874,55
late_pre_response_minus_early_pre_response,participation_ratio,-0.2261398374015271,55
late_pre_response_minus_mid_pre_response,pc1_explained,0.014362596543090356,55
late_pre_response_minus_mid_pre_response,participation_ratio,-0.09416463186509505,55
mid_pre_response_minus_early_pre_response,pc1_explained,0.028723414828218385,55
mid_pre_response_minus_early_pre_response,participation_ratio,-0.13197520553643205,55
late_pre_response_minus_early_pre_response,pc1_explained,0.04297623742741141,56
late_pre_response_minus_early_pre_response,participation_ratio,-0.23477599047655362,56
late_pre_response_minus_mid_pre_response,pc1_explained,0.03995079274473112,56
late_pre_response_minus_mid_pre_response,participation_ratio,-0.18977332899057764,56
mid_pre_response_minus_early_pre_response,pc1_explained,0.0030254446826802894,56
mid_pre_response_minus_early_pre_response,participation_ratio,-0.04500266148597598,56
late_pre_response_minus_early_pre_response,pc1_explained,0.08244140128093502,57
late_pre_response_minus_early_pre_response,participation_ratio,-0.4473067278819598,57
late_pre_response_minus_mid_pre_response,pc1_explained,0.048430716435675536,57
late_pre_response_minus_mid_pre_response,participation_ratio,-0.25715812427353457,57
mid_pre_response_minus_early_pre_response,pc1_explained,0.03401068484525949,57
mid_pre_response_minus_early_pre_response,participation_ratio,-0.19014860360842523,57
late_pre_response_minus_early_pre_response,pc1_explained,0.06751367778720985,58
late_pre_response_minus_early_pre_response,participation_ratio,-0.368190274462203,58
late_pre_response_minus_mid_pre_response,pc1_explained,0.032875623609143645,58
late_pre_response_minus_mid_pre_response,participation_ratio,-0.19111062868412487,58
mid_pre_response_minus_early_pre_response,pc1_explained,0.0346380541780662,58
mid_pre_response_minus_early_pre_response,participation_ratio,-0.1770796457780781,58
late_pre_response_minus_early_pre_response,pc1_explained,0.048542442903132144,59
late_pre_response_minus_early_pre_response,participation_ratio,-0.26004336929206495,59
late_pre_response_minus_mid_pre_response,pc1_explained,0.031887681615716534,59
late_pre_response_minus_mid_pre_response,participation_ratio,-0.15242834419592421,59
mid_pre_response_minus_early_pre_response,pc1_explained,0.01665476128741561,59
mid_pre_response_minus_early_pre_response,participation_ratio,-0.10761502509614074,59
late_pre_response_minus_early_pre_response,pc1_explained,0.06338093246678544,60
late_pre_response_minus_early_pre_response,participation_ratio,-0.3473831964179115,60
late_pre_response_minus_mid_pre_response,pc1_explained,0.027275238511102584,60
late_pre_response_minus_mid_pre_response,participation_ratio,-0.15006852396271375,60
mid_pre_response_minus_early_pre_response,pc1_explained,0.03610569395568286,60
mid_pre_response_minus_early_pre_response,participation_ratio,-0.19731467245519774,60
late_pre_response_minus_early_pre_response,pc1_explained,0.021441260182978317,61
late_pre_response_minus_early_pre_response,participation_ratio,-0.1533639159311173,61
late_pre_response_minus_mid_pre_response,pc1_explained,0.018828020804941836,61
late_pre_response_minus_mid_pre_response,participation_ratio,-0.11357208910786731,61
mid_pre_response_minus_early_pre_response,pc1_explained,0.0026132393780364804,61
mid_pre_response_minus_early_pre_response,participation_ratio,-0.03979182682325,61
late_pre_response_minus_early_pre_response,pc1_explained,0.05087829083750728,62
late_pre_response_minus_early_pre_response,participation_ratio,-0.25591177313250224,62
late_pre_response_minus_mid_pre_response,pc1_explained,0.03653430502608945,62
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1886395067189448,62
mid_pre_response_minus_early_pre_response,pc1_explained,0.014343985811417825,62
mid_pre_response_minus_early_pre_response,participation_ratio,-0.06727226641355744,62
late_pre_response_minus_early_pre_response,pc1_explained,0.10785641394817458,63
late_pre_response_minus_early_pre_response,participation_ratio,-0.5455163009391599,63
late_pre_response_minus_mid_pre_response,pc1_explained,0.04170748308538652,63
late_pre_response_minus_mid_pre_response,participation_ratio,-0.21236107640775082,63
mid_pre_response_minus_early_pre_response,pc1_explained,0.06614893086278806,63
mid_pre_response_minus_early_pre_response,participation_ratio,-0.3331552245314091,63
